,Weight,Screen_size,resolution1,resolution2,CPU_Brand,RAM,storage_amount,Storage_type,GPU_Brand,OS,Pred_Class
498,2.09,15.6,1920.0,1080.0,2,8,500,0,3,6,3
499,2.09,15.6,1920.0,1080.0,2,16,512,2,3,6,5
500,2.1,14.0,1366.0,768.0,2,4,500,0,3,6,5
501,2.1,14.0,1366.0,768.0,2,8,1000,0,3,6,3
502,2.1,15.6,1366.0,768.0,0,4,128,2,0,6,5
503,2.1,15.6,1366.0,768.0,0,4,256,2,0,6,5
504,2.1,15.6,1366.0,768.0,0,4,500,0,0,6,5
505,2.1,15.6,1366.0,768.0,0,4,1000,0,0,6,3
506,2.1,15.6,1366.0,768.0,0,6,1000,0,0,6,3
508,2.1,15.6,1366.0,768.0,2,4,128,2,3,6,5
509,2.1,15.6,1366.0,768.0,2,4,256,2,3,6,5
511,2.1,15.6,1366.0,768.0,2,4,500,0,3,6,5
513,2.1,15.6,1366.0,768.0,2,4,1000,0,3,6,3
514,2.1,15.6,1366.0,768.0,2,8,1000,0,3,6,3
515,2.1,15.6,1920.0,1080.0,0,4,500,0,0,6,3
516,2.1,15.6,1920.0,1080.0,0,4,1000,0,0,6,3
517,2.1,15.6,1920.0,1080.0,0,6,1000,0,0,6,3
518,2.1,15.6,1920.0,1080.0,0,6,1128,1,0,6,6
519,2.1,15.6,1920.0,1080.0,2,4,128,2,3,6,5
520,2.1,15.6,1920.0,1080.0,2,4,256,2,3,6,5
521,2.1,15.6,1920.0,1080.0,2,4,500,0,0,6,5
523,2.1,15.6,1920.0,1080.0,2,4,500,0,3,6,5
524,2.1,15.6,1920.0,1080.0,2,4,1000,0,0,6,3
525,2.1,15.6,1920.0,1080.0,2,4,1000,0,3,6,3
527,2.1,15.6,1920.0,1080.0,2,4,1128,1,0,6,6
528,2.1,15.6,1920.0,1080.0,2,4,2000,1,3,6,0
529,2.1,15.6,1920.0,1080.0,2,6,1000,0,3,6,3
530,2.1,15.6,1920.0,1080.0,2,8,256,2,0,6,5
531,2.1,15.6,1920.0,1080.0,2,8,256,2,4,6,3
532,2.1,15.6,1920.0,1080.0,2,8,1000,0,0,6,3
533,2.1,15.6,1920.0,1080.0,2,8,1000,0,3,6,3
534,2.1,15.6,1920.0,1080.0,2,8,1000,0,4,6,3
535,2.1,15.6,1920.0,1080.0,2,8,1256,1,0,6,6
536,2.1,15.6,1920.0,1080.0,2,16,512,2,3,6,5
537,2.1,15.6,1920.0,1080.0,2,16,1128,1,4,6,6
538,2.1,17.3,1920.0,1080.0,2,8,1128,1,4,6,6
539,2.13,15.6,1920.0,1080.0,2,8,256,2,0,6,5
540,2.14,15.6,1366.0,768.0,2,8,1000,0,3,6,3
543,2.15,15.6,1920.0,1080.0,2,12,1000,0,3,6,3
544,2.16,15.6,1920.0,1080.0,2,8,512,2,4,6,5
545,2.16,15.6,1920.0,1080.0,2,8,1256,1,4,6,6
546,2.17,15.6,1920.0,1080.0,2,8,256,2,3,6,5
547,2.17,15.6,1920.0,1080.0,2,16,256,2,4,6,5
548,2.17,15.6,1920.0,1080.0,2,16,512,2,4,6,5
549,2.18,15.6,1366.0,768.0,2,4,128,2,3,6,5
551,2.18,15.6,1366.0,768.0,2,4,1000,0,0,6,3
553,2.18,15.6,1366.0,768.0,2,4,1000,0,3,6,3
554,2.18,15.6,1366.0,768.0,2,8,128,2,3,6,5
556,2.18,15.6,1920.0,1080.0,2,4,256,2,0,6,5
557,2.18,15.6,1920.0,1080.0,2,4,1000,0,3,6,3
558,2.18,15.6,1920.0,1080.0,2,4,1128,1,4,6,6
559,2.18,15.6,1920.0,1080.0,2,6,1000,0,4,6,3
560,2.18,15.6,1920.0,1080.0,2,8,256,2,0,6,5
561,2.18,15.6,1920.0,1080.0,2,8,256,2,3,6,5
562,2.18,15.6,1920.0,1080.0,2,8,256,2,4,6,5
563,2.18,15.6,1920.0,1080.0,2,8,1000,0,3,6,3
564,2.18,15.6,1920.0,1080.0,2,16,512,2,4,6,5
565,2.19,15.6,1366.0,768.0,0,4,500,0,0,6,5
567,2.19,15.6,1366.0,768.0,2,6,1000,0,0,6,3
568,2.19,15.6,1920.0,1080.0,2,12,512,2,3,6,5
569,2.191,15.6,1920.0,1080.0,2,8,256,2,3,6,5
570,2.2,15.6,1366.0,768.0,0,4,128,2,0,6,5
572,2.2,15.6,1366.0,768.0,0,4,500,0,0,6,5
