,Weight,Category,Screen_size,Screen_type,Screen_resolution,CPU_Brand,CPU_series,CPU_model,RAM,Storage_amount,Storage_type,Storage_info,GPU_Brand,GPU_Model,OS,original_price,after_discount,persian_info,full_info,discount_percent
2901,2.2,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,768 * 1366,AMD,Bristol Ridge,A6-9225,4.0,1024.0,HDD,,AMD Radeon,radeon 530,Dos,,,لپ تاپ لنوو 15 اینچی مدل IdeaPad S145 - N پردازنده A6 9225 رم 4GB حافظه 1TB گرافیک 2GB,IdeaPad S145 A6-9225 4GB 1TB 2GB HD Laptop,0.0
2902,1.95,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,1080 * 1920,INTEL,Core i5,i5-8265U,12.0,1311744.0,Hybrid,,Nvidia Gforce,geforce gtx 1650 gddr5,Windows X,,,لپ تاپ 15 اینچی لنوو مدل Ideapad S540 با پردازنده i5,Ideapad S540 Core i5 12GB 1TB 128GB SSD 4GB Full HD Laptop,0.0
2903,1.95,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,1080 * 1920,INTEL,Core i5,i5-8265U,8.0,2622464.0,Hybrid,,Nvidia Gforce,geforce gtx 1650 gddr5,Windows X,,,لپ تاپ 15 اینچی لنوو مدل Ideapad S540 با پردازنده i5,Ideapad S540 Core i5 8GB 1TB 256GB SSD 4GB Full HD Laptop,0.0
2905,1.95,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,1080 * 1920,INTEL,Core i7,i7-8565U,8.0,5243904.0,Hybrid,,Nvidia Gforce,geforce gtx 1650 gddr5,Windows X,,,لپ تاپ 15 اینچی لنوو مدل Ideapad S540 با پردازنده i7,Ideapad S540 Core i7 8GB 1TB 512GB SSD 4GB Full HD Laptop,0.0
2906,2.4,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,1080 * 1920,INTEL,Core i7,i7-9750H,16.0,2622464.0,Hybrid,,Nvidia Gforce,gtx 1650,Windows X,,,لپ تاپ لنوو مدل Legion Y7000 با پردازنده i7 و صفحه نمایش فول اچ دی,Legion Y7000 Core i7 16GB 1TB 256GB SSD 4GB Full HD Laptop,0.0
2907,1.95,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,1080 * 1920,INTEL,Core i5,i5-8265U,8.0,5243904.0,Hybrid,,Nvidia Gforce,geforce gtx 1650 gddr5,Windows X,,,لپ تاپ 15 اینچی لنوو مدل Ideapad S540 با پردازنده i5,Ideapad S540 Core i5 8GB 1TB 512GB SSD 4GB Full HD Laptop,0.0
2909,1.95,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,1080 * 1920,INTEL,Core i7,i7-8565U,8.0,2622464.0,Hybrid,,Nvidia Gforce,geforce gtx 1650 gddr5,Windows X,,,لپ تاپ 15 اینچی لنوو مدل Ideapad S540 با پردازنده i7,Ideapad S540 Core i7 8GB 1TB 256GB SSD 4GB Full HD Laptop,0.0
2910,2.4,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,1080 * 1920,INTEL,Core i7,i7-9750H,8.0,2622464.0,Hybrid,,Nvidia Gforce,gtx 1650,Windows X,,,لپ تاپ لنوو مدل Legion Y7000 با پردازنده i7 و صفحه نمایش فول اچ دی,Legion Y7000 Core i7 8GB 1TB 256GB SSD 4GB Full HD Laptop,0.0
2911,2.2,نوت بوک (لپ تاپ),15.6,TFT or TN,1080 * 1920,INTEL,Core i7,i7 10510U,20.0,2622464.0,Hybrid,,Nvidia Gforce,mx330,Dos,,,15 اینچی مدل Ideapad L3 پردازنده i7 رم 20GB حافظه 1TB 256GB SSD گرافیک 2GB,Ideapad L3 Core i7 10510U 20GB 1TB 256GB SSD 2GB FULL HD Laptop,0.0
2912,2.2,نوت بوک (لپ تاپ),15.6,TFT or TN,1080 * 1920,INTEL,Core i7,i7 10510U,20.0,5243904.0,Hybrid,,Nvidia Gforce,mx130,Dos,,,لپ تاپ 15 اینچی لنوو مدل Ideapad L3 Core i7 10510U 20GB 1TB 512GB SSD 2GB MX130,Ideapad L3 Core i7 10510U 20GB 1TB 512GB SSD 2GB MX130 FULL HD Laptop,0.0
