url,price_after_discount,original_price
/product/123570/microsoft-surface-laptop-studio-14-4inch-core-i7-11370h-32gb-2tb-ssd-4gb-rtx-305/,"134,000,000 تومان","135,000,000 تومان"
/product/123571/microsoft-surface-laptop-studio-14-4inch-core-i7-11370h-32gb-1tb-ssd-4gb-rtx-305/,"120,000,000 تومان","121,000,000 تومان"
/product/121065/microsoft-surface-laptop-3-core-i7-32gb-1tb-ssd-intel-touch-15-inch-laptop/,"72,600,000 تومان","73,600,000 تومان"
/product/122454/microsoft-surface-laptop-4-corei5-8gb-512gb-laptop/,"49,300,000 تومان","50,300,000 تومان"
/product/130093/msi-summit-e13-flip-evo-a12mt-core-i7-1280p-16gb-1tb-ssd-intel-full-hd-ips-touch/,"68,650,000 تومان",
/product/132286/msi-raider-ge78hx-13vh-core-i9-13950hx-32gb-2tb-ssd-12gb-rtx4080-gaming-laptop/,"189,600,000 تومان",
/product/132291/msi-gf66-b12vek-core-i7-12650h-16gb-1tb-ssd-6gb-rtx-4050-full-hd-laptop/,"72,200,000 تومان","73,700,000 تومان"
/product/134306/msi-summit-e16-flip-a13vft-core-i7-1360p-32gb-2tb-ssd-8gb-qhd-laptop/,"97,480,000 تومان","98,380,000 تومان"
/product/134309/msi-raider-ge78hx-13vg-core-i9-13950hx-32gb-2tb-ssd-8gb-rtx4070-gaming-laptop/,"156,800,000 تومان","158,800,000 تومان"
/product/134068/microsoft-surface-laptop-go-2-core-i5-1135g7-16gb-256gb-intel-12-4inch-touch-lap/,"37,288,000 تومان","38,288,000 تومان"
/product/129872/microsoft-surface-laptop-5-15-inch-core-i7-1255u-8gb-512gb-ssd-intel-touch-lapto/,"63,380,000 تومان","64,380,000 تومان"
/product/129873/microsoft-surface-laptop-5-15-inch-core-i7-1255u-16gb-512gb-ssd-intel-touch-lapt/,"77,388,000 تومان","78,388,000 تومان"
/product/129874/microsoft-surface-laptop-5-15-inch-core-i7-1255u-32gb-1tb-ssd-intel-touch-laptop/,"117,000,000 تومان","119,000,000 تومان"
/product/130545/microsoft-surface-laptop-3-core-i7-16gb-512gb-ssd-intel-touch-15-inch-laptop/,"56,300,000 تومان","57,300,000 تومان"
/product/131825/microsoft-surface-laptop-4-15inch-core-i7-1185g7-8gb-512gb-ssd-intel-touch-lapto/,"54,288,000 تومان","55,288,000 تومان"
/product/131109/microsoft-surface-laptop-5-15-inch-core-i7-1255u-8gb-256gb-ssd-intel-touch-lapto/,"59,388,000 تومان","60,388,000 تومان"
/product/129867/microsoft-surface-laptop-5-13-5inch-core-i7-1255u-16gb-512gb-ssd-intel-touch-lap/,"71,500,000 تومان","72,500,000 تومان"
/product/129868/microsoft-surface-laptop-5-13-5inch-core-i5-1235u-8gb-256gb-ssd-intel-touch-lapt/,"45,833,000 تومان","46,833,000 تومان"
/product/129869/microsoft-surface-laptop-5-13-5inch-core-i5-1235u-8gb-512gb-ssd-intel-touch-lapt/,"54,380,000 تومان","55,380,000 تومان"
/product/129870/microsoft-surface-laptop-5-13-5inch-core-i5-1235u-16gb-512gb-ssd-intel-touch-lap/,"63,300,000 تومان","64,300,000 تومان"
/product/127941/microsoft-surface-laptop-4-13-5inch-ryzen-7-4980u-16gb-512gb-ssd-amd-radeon-touc/,"56,888,000 تومان","57,888,000 تومان"
/product/131820/msi-sword-a12ucx-core-i5-16gb-512gb-laptop/,"48,755,000 تومان","49,455,000 تومان"
/product/131924/msi-cyborg-15-a12ve-core-i7-12650h-16gb-512gb-ssd-6gb-rtx-4050-full-hd-laptop/,"62,588,000 تومان","63,888,000 تومان"
/product/124998/hp-omen-16-b0001-a-core-i7-11800h-16gb-1tb-ssd-8gb-3070-full-hd-ips-laptop/,"58,800,000 تومان",
/product/134048/asus-x1500ep-core-i5-1135g7-12gb-512gb-ssd-2gb-mx330-fhd-laptop/,"27,233,000 تومان","27,533,000 تومان"
/product/133427/asus-tuf-gaming-fx507zc-core-i5-12500h-16gb-512gb-ssd-4gb-rtx3050-full-hd-laptop/,"46,324,000 تومان","46,449,000 تومان"
/product/133428/asus-tuf-gaming-fx507zc-core-i5-12500h-16gb-1tb-ssd-4gb-rtx3050-full-hd-laptop/,"47,834,000 تومان","47,949,000 تومان"
/product/134050/asus-x1500ep-core-i5-1135g7-12gb-1tb-ssd-2gb-mx330-fhd-laptop/,"28,064,000 تومان","28,199,000 تومان"
/product/134052/asus-x1500ep-core-i5-1135g7-16gb-512gb-ssd-2gb-mx330-fhd-laptop/,"27,774,000 تومان","27,899,000 تومان"
/product/134053/asus-x1500ep-core-i5-1135g7-24gb-1tb-ssd-2gb-mx330-fhd-laptop/,"29,889,000 تومان","29,999,000 تومان"
/product/133253/asus-rog-strix-g15-g513rc-ryzen-7-6800h-32gb-1tb-ssd-4gb-rtx3050-full-hd-laptop/,"54,849,000 تومان","55,299,000 تومان"
/product/133254/asus-zenbook-14-oled-ux3402za-km101w-core-i7-1260p-16gb-1tb-ssd-intel-laptop/,"75,464,000 تومان","75,599,000 تومان"
/product/133222/asus-vivobook-r1502za-core-i7-1255u-16gb-512gb-ssd-intel-full-hd-laptop/,"31,199,000 تومان","32,199,000 تومان"
/product/133223/asus-vivobook-r1502za-core-i7-1255u-16gb-1tb-ssd-intel-full-hd-laptop/,"32,649,000 تومان","32,799,000 تومان"
