,Weight,Category,Screen_size,Screen_type,Screen_resolution,CPU_Brand,CPU_series,CPU_model,RAM,Storage_amount,Storage_type,Storage_info,GPU_Brand,GPU_Model,OS,original_price,after_discount,persian_info,full_info,discount_percent,predicted_price
217,2.1,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i5,i5-1135G7,12.0,528.0,SSD,SSD NVMe,Nvidia,geforcemx350,Dos,24280000.0,24180000.0,لپ تاپ لنوو 15.6 اینچی مدل V15 پردازنده Core i5 1135G7 رم 12GB حافظه 512GB SSD گرافیک 2GB MX350,V15 Core i5 1135G7 12GB 512GB SSD 2GB MX350 FHD Laptop,0.41,34072080.0
218,2.1,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i5,i5-1135G7,12.0,256.0,SSD,SSD NVMe,Nvidia,geforcemx350,Dos,23770000.0,23670000.0,لپ تاپ لنوو 15.6 اینچی مدل V15 پردازنده Core i5 1135G7 رم 12GB حافظه 256GB SSD گرافیک 2GB MX350,V15 Core i5 1135G7 12GB 256GB SSD 2GB MX350 FHD Laptop,0.42,34381742.5
219,1.8,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i5,i5-1135G7,16.0,528.0,SSD,SSD NVMe,Nvidia,geforcemx330,,27899000.0,27764000.0,لپ تاپ ایسوس 15.6 اینچی مدل X515EP پردازنده Core i5 1135G7 رم 16GB حافظه 512GB SSD گرافیک 2GB,X515EP Core i5 1135G7 16GB 512GB SSD 2GB MX330 FHD Laptop,0.48,30460380.0
221,1.75,نوت بوک (لپ تاپ),15.6,fhd tn,1080 * 1920,INTEL,Core i3,I3-1115G4,12.0,528.0,SSD,SSD NVMe,Intel,uhd,Dos,16390000.0,16090000.0,لپ تاپ لنوو 15.6 اینچی مدل Ideapad 3 پردازنده Core i3 1115G4 رم 12GB حافظه 512GB SSD گرافیک Intel Full HD,Ideapad 3 Core i3 1115G4 12GB 512GB SSD Intel Full HD Laptop,1.83,17252780.0
222,1.62,نوت بوک (لپ تاپ),15.6,fhd tn,1080 * 1920,INTEL,Core i3,i3-1215U,12.0,528.0,Hybrid,SSD NVMe,Intel,uhd,Dos,18500000.0,18200000.0,لپ تاپ لنوو 15.6 اینچی مدل Ideapad 3 پردازنده Core i3 1215U رم 12GB حافظه 1TB 512GB SSD گرافیک Intel,Ideapad 3 Core i3 1215U 12GB 1TB 512GB SSD Intel FHD Laptop,1.62,22967940.0
224,1.64,نوت بوک (لپ تاپ),14.0,ips,1080 * 1920,INTEL,Core i5,i5 - 1235U,16.0,528.0,SSD,SSD NVMe,Nvidia,mx550gddr6,Dos,,44700000.0,لپ تاپ 14 اینچی لنوو مدل ThinkPad E14 پردازنده Core i5 1235U رم 16GB حافظه 512GB SSD گرافیک 2GB MX550,ThinkPad E14 Core i5 1235U 16GB 512GB SSD 2GB MX550 Full HD IPS Laptop,0.0,56426590.0
225,2.1,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i5,i5-1135G7,8.0,256.0,SSD,SSD NVMe,Nvidia,geforcemx350,Dos,23220000.0,23120000.0,لپ تاپ لنوو 15.6 اینچی مدل V15 پردازنده Core i5 1135G7 رم 8GB حافظه 256GB SSD گرافیک 2GB MX350,V15 Core i5 1135G7 8GB 256GB SSD 2GB MX350 FHD Laptop,0.43,34527867.5
226,1.63,نوت بوک (لپ تاپ),15.6,tn,1080 * 1920,INTEL,Core i5,i5 - 1235U,8.0,528.0,SSD,SSD NVMe,Intel,uhd,Dos,23750000.0,23550000.0,لپ تاپ لنوو 15.6 اینچی مدل Ideapad 3 پردازنده Core i5 1235U رم 8GB حافظه 512GB SSD گرافیک Intel,Ideapad 3 Core i5 1235U 8GB 512GB SSD Intel Full HD Laptop,0.84,33295890.0
231,2.2,نوت بوک (لپ تاپ),15.6,ips,1080 * 1920,INTEL,Core i7,i7-12650H,16.0,1024.0,SSD,SSD NVMe,Nvidia,rtx3050,,48910000.0,48710000.0,لپ تاپ لنوو 15.6 اینچی مدل Ideapad Gaming 3 پردازنده Core i7 12650H رم 16GB حافظه 1TB SSD گرافیک 4GB 3050,IdeaPad Gaming 3 Core i7 12650H 16GB 1TB SSD 4GB 3050 FHD Laptop,0.41,44170560.0
232,1.7,نوت بوک (لپ تاپ),15.6,fhd tn,1080 * 1920,INTEL,Core i3,i3-1215U,12.0,256.0,SSD,SSD NVMe,Intel,uhd,Dos,,16650000.0,لپ تاپ لنوو 15.6 اینچی مدل V15 پردازنده Core i3 1215U رم 12GB حافظه 256GB SSD گرافیک Intel,V15 Core i3 1215U 12GB 256GB SSD Intel FHD Laptop,0.0,17531290.0
