,Weight,Category,Screen_size,Screen_type,Screen_resolution,CPU_Brand,CPU_series,CPU_model,RAM,Storage_amount,Storage_type,Storage_info,GPU_Brand,GPU_Model,OS,original_price,after_discount,persian_info,full_info,discount_percent
1417,2.43 KG,,15.6,LED BACKLIGHT,768 * 1366,INTEL,Core i5,,6.0,1024.0,SATA,,Nvidia Gforce,GT 740M,Dos,,,لپ تاپ لنوو مدل ای 540 با پردازنده i5,E540-Core-i5-6GB-1TB-2GB,0.0
1418,2.3 KG,,15.6,IPS LCD,1080 * 1920,INTEL,Core i5,i5-4210U,6.0,82944.0,SSDSATA,,Nvidia Gforce,GT 840M,Dos,,,لپ تاپ لنوو سری فلکس با پردازنده i5 و 8 گیگابایت حافظه اس اس دی,FLEX2-Core-i5-6GB-1TB+8GB-SSD-4GB,0.0
1419,2.43 KG,,15.6,LED BACKLIGHT,768 * 1366,INTEL,Core i7,i7-4712MQ,8.0,1024.0,SATA,,Nvidia Gforce,GT 740M,Dos,,,لپ تاپ لنوو مدل ای 540 با پردازنده i7,E540-Core-i7-8GB-1TB-2GB,0.0
1420,2.5 KG,نوت بوک (لپ تاپ),15.6,"Delivers bright, crisp visuals Display",768 * 1366,AMD,,E2-6010,4.0,512000.0,SATA,,AMD Radeon,R5 M230,Dos,,,لپ تاپ لنوو جی 5045 با گرافیک 1 گیگابایت مستقل,G5045 E2-6010 4GB 500GB 1GB,0.0
1421,2.2 KG,نوت بوک (لپ تاپ),15.6,TN | 220nits | Anti-glare,768 * 1366,INTEL,Pentium,Pentium Gold 6405U,4.0,1024.0,HDD,,Nvidia Gforce,MX130,Dos,,,لپ تاپ 15 اینچی لنوو مدل Ideapad 3 با پردازنده Pentium Gold 6405U,Ideapad 3 6405U 4GB 1TB 2GB HD Laptop,0.0
1422,2.5 KG,نوت بوک (لپ تاپ),15.6,TFT LED-backlit FULL HD,1080 * 1920,INTEL,Core i7,i7-4510U,8.0,1024.0,SATA,,Nvidia Gforce,GT 840M,Dos,,,لپ تاپ لنوو مدل زد 5070 با پردازنده i7,Z5070 Core i7 8GB 1TB 4GB,0.0
1423,2.5 KG,نوت بوک (لپ تاپ),15.6,LED Backlight,768 * 1366,INTEL,Pentium,Pentium-N3530,4.0,512000.0,SATA,,Nvidia Gforce,GT 810M,Dos,,,لپ تاپ ایسر اسپایر مدل ای 5 با پردازنده پنتیوم,Aspire E5-511G N3530 4GB 500GB 1GB,0.0
1424,2.5 KG,نوت بوک (لپ تاپ),15.6,TFT LED-backlit LCD,1080 * 1920,INTEL,Core i7,i7-5500U,8.0,1024.0,SATA,,Nvidia Gforce,GT 940M,Dos,,,لپ تاپ ایسر اسپایر مدل ای 5 با پردازنده i7,Aspire E5-573G Core i7 8GB 1TB 4GB Full HD,0.0
1425,2.5 KG,,15.6,LED Backlight,768 * 1366,INTEL,Pentium,Pentium-3558u,4.0,512000.0,SATA,,Nvidia Gforce,GT 740M,Dos,,,لپ تاپ ایسر اسپایر مدل ای 5 با پردازنده پنتیوم,Aspire-E5-571G-Pentium-4GB-500GB-1GB,0.0
1426,2.4 KG,,15.6,HD Widescreen CineCrystal LED-Backlit,768 * 1366,INTEL,Core i5,i5-4200U,4.0,512000.0,SATA,,AMD Radeon,HD 8670M,Dos,,,لپ تاپ ایسر اسپایر مدل ای 1 با پردازنده i5,Aspire-E1-572G-Core-i5-4GB-500GB-1GB,0.0
